Rating matrix file path : [../rrnnglobalv2/data1M/rating_matrix.txt]
Training data file : [../rrnnglobalv2/data1M/train.data]
Testing data file : [../rrnnglobalv2/data1M/test.data]
Model configuration:
{'num_users': 6040, 'lr': 0.001, 'num_units': 512, 'rho': 0.9, 'chunk_size': 10, 'num_items': 3706, 'k': 5, 'cell_act': 'tanh', 'batch_size': 5}
Epoch 39: Training RMSE 0.690040117736
Epoch 39: Test RMSE 1.82988889268
Epoch 40: Training error 10984.1914759
Epoch 40: Test error 5881.28678131
Epoch 40: Training RMSE 0.691098217929
Epoch 40: Test RMSE 1.8523439282
Epoch 41: Training error 10890.1142978
Epoch 41: Test error 5962.9214067
Epoch 41: Training RMSE 0.687150222379
Epoch 41: Test RMSE 1.87871527351
Epoch 42: Training error 10881.0945465
Epoch 42: Test error 6029.48798928
Epoch 42: Training RMSE 0.684286259095
Epoch 42: Test RMSE 1.89453819357
Epoch 43: Training error 10841.9927341
Epoch 43: Test error 6070.94436899
Epoch 43: Training RMSE 0.683121706439
Epoch 43: Test RMSE 1.89923929469
Epoch 44: Training error 10785.0038499
Epoch 44: Test error 6105.0175012
Epoch 44: Training RMSE 0.681625341066
Epoch 44: Test RMSE 1.89721010197
Epoch 45: Training error 10787.306071
Epoch 45: Test error 6155.19392353
Epoch 45: Training RMSE 0.680959506119
Epoch 45: Test RMSE 1.89476055534
Epoch 46: Training error 10721.0060256
Epoch 46: Test error 6173.90948807
Epoch 46: Training RMSE 0.679569505719
Epoch 46: Test RMSE 1.88818456251
Epoch 47: Training error 10686.2470532
Epoch 47: Test error 6174.71885473
Epoch 47: Training RMSE 0.675827775378
Epoch 47: Test RMSE 1.87008862703
Epoch 48: Training error 10694.1916211
Epoch 48: Test error 6188.93896669
Epoch 48: Training RMSE 0.676194094193
Epoch 48: Test RMSE 1.87067855867
Epoch 49: Training error 10620.9014635
Epoch 49: Test error 6204.34404516
Epoch 49: Training RMSE 0.674357216822
Epoch 49: Test RMSE 1.8650559175
Epoch 50: Training error 10594.4845819
Epoch 50: Test error 6240.46761555
Epoch 50: Training RMSE 0.6728273312
Epoch 50: Test RMSE 1.86513659078
Epoch 51: Training error 10569.1065363
Epoch 51: Test error 6264.37685476
Epoch 51: Training RMSE 0.672332837335
Epoch 51: Test RMSE 1.87345142621
Epoch 52: Training error 10571.4040386
Epoch 52: Test error 6291.01207662
Epoch 52: Training RMSE 0.669030467573
Epoch 52: Test RMSE 1.86808146593
Epoch 53: Training error 10512.0559717
Epoch 53: Test error 6301.35969894
Epoch 53: Training RMSE 0.668831258967
Epoch 53: Test RMSE 1.86591894056
Epoch 54: Training error 10479.6036505
Epoch 54: Test error 6308.61586557
Epoch 54: Training RMSE 0.667362755041
Epoch 54: Test RMSE 1.86268256176
Epoch 55: Training error 10472.834017
Epoch 55: Test error 6310.56325303
Epoch 55: Training RMSE 0.664857935827
Epoch 55: Test RMSE 1.85608209017
Epoch 56: Training error 10426.5154721
Epoch 56: Test error 6337.17364687
Epoch 56: Training RMSE 0.664070786191
Epoch 56: Test RMSE 1.85473051354
Epoch 57: Training error 10452.2817291
Epoch 57: Test error 6380.03982567
Epoch 57: Training RMSE 0.663637539589
Epoch 57: Test RMSE 1.85651168533
Epoch 58: Training error 10396.7371868
Epoch 58: Test error 6396.10870381
Epoch 58: Training RMSE 0.662495357341
Epoch 58: Test RMSE 1.85203252547
Epoch 59: Training error 10392.8951736
Epoch 59: Test error 6401.32637967
Epoch 59: Training RMSE 0.660751492754
Epoch 59: Test RMSE 1.85343477875
Epoch 60: Training error 10380.2428535
Epoch 60: Test error 6424.2521659
Epoch 60: Training RMSE 0.659998144834
Epoch 60: Test RMSE 1.85185107539
Epoch 61: Training error 10369.2596005
Epoch 61: Test error 6447.62407592
Epoch 61: Training RMSE 0.659439304998
Epoch 61: Test RMSE 1.85004101777
Epoch 62: Training error 10338.8064359
Epoch 62: Test error 6515.35069073
Epoch 62: Training RMSE 0.658482117763
Epoch 62: Test RMSE 1.86058654447
Epoch 63: Training error 10351.6159259
Epoch 63: Test error 6588.01420584
Epoch 63: Training RMSE 0.65723214209
Epoch 63: Test RMSE 1.87601167721
Epoch 64: Training error 10291.6343574
Epoch 64: Test error 6688.15739684
Epoch 64: Training RMSE 0.65738925806
Epoch 64: Test RMSE 1.8997224935
Epoch 65: Training error 10297.8048531
Epoch 65: Test error 6719.58246493
Epoch 65: Training RMSE 0.65497176631
Epoch 65: Test RMSE 1.91767741263
Epoch 66: Training error 10332.3426627
Epoch 66: Test error 6762.04727474
Epoch 66: Training RMSE 0.656203202296
Epoch 66: Test RMSE 1.93548650542
Epoch 67: Training error 10265.4970255
Epoch 67: Test error 6816.95992925
Epoch 67: Training RMSE 0.65240575956
Epoch 67: Test RMSE 1.94309776829
Epoch 68: Training error 10244.6531365
Epoch 68: Test error 6880.94042073
Epoch 68: Training RMSE 0.652558932423
Epoch 68: Test RMSE 1.9504813464
Epoch 69: Training error 10210.328355
Epoch 69: Test error 6901.77941345
Epoch 69: Training RMSE 0.652800532073
Epoch 69: Test RMSE 1.95688900987
Epoch 70: Training error 10241.39672
Epoch 70: Test error 6901.33930953
Epoch 70: Training RMSE 0.652369162944
Epoch 70: Test RMSE 1.95110352346
Epoch 71: Training error 10256.7511715
Epoch 71: Test error 6900.57298042
Epoch 71: Training RMSE 0.652469585956
Epoch 71: Test RMSE 1.94735202625
Epoch 72: Training error 10226.7941041
Epoch 72: Test error 6909.14925368
Epoch 72: Training RMSE 0.650907023113
Epoch 72: Test RMSE 1.94351587134
Epoch 73: Training error 10210.2590413
Epoch 73: Test error 6914.00458009
Epoch 73: Training RMSE 0.651137297737
Epoch 73: Test RMSE 1.93695522154
Epoch 74: Training error 10217.9370938
Epoch 74: Test error 6975.80432283
Epoch 74: Training RMSE 0.648886495164
Epoch 74: Test RMSE 1.92555183508
Epoch 75: Training error 10192.5985084
Epoch 75: Test error 6963.77809216
Epoch 75: Training RMSE 0.64897120156
Epoch 75: Test RMSE 1.92249411692
Epoch 76: Training error 10195.4906974
Epoch 76: Test error 6960.24585521
Epoch 76: Training RMSE 0.649303075657
Epoch 76: Test RMSE 1.92382937079
Epoch 77: Training error 10173.2282177
Epoch 77: Test error 6965.70340987
Epoch 77: Training RMSE 0.647976273168
Epoch 77: Test RMSE 1.9184383361
Epoch 78: Training error 10182.8306166
Epoch 78: Test error 6972.4750992
Epoch 78: Training RMSE 0.648043962993
Epoch 78: Test RMSE 1.91302686576
Epoch 79: Training error 10216.1257021
Epoch 79: Test error 6982.05023814
Epoch 79: Training RMSE 0.647260384591
Epoch 79: Test RMSE 1.90816523689
Epoch 80: Training error 10187.3893063
Epoch 80: Test error 6973.88456041
Epoch 80: Training RMSE 0.648029397425
Epoch 80: Test RMSE 1.9007439356
Epoch 81: Training error 10140.6711003
Epoch 81: Test error 6998.93269033
Epoch 81: Training RMSE 0.647554551965
